Episode Number,Title,Guest Name,Guest Title/Organization,Date Published,Duration,Description,Category/Topic,Has Transcript,Cover Image Filename,YouTube URL,Spotify URL,Apple Podcasts URL,Notes
10,,Internet Privacy - Hardcore Edition,,2023-05-23,49:39,"For part two of our series on Internet privacy, we talk about playing in the big leagues: How dissidents, journalists, whistleblowers and others with tough adversaries can protect themselves with tools like Tor and Tails.",Educational,N,episode-010.png,https://youtu.be/stsy_73q2T8,https://open.spotify.com/episode/1SFZ43gTWALRA9aWsSW13X?si=31033fc17bcc4b9f,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000614474437,
9,,Internet Privacy - Everyone Edition,,2023-05-18,1:07:58,"Joe and Adam deliver a primer on Internet privacy focusing on Big Tech and other commercial players: Who wants your data, how they get it and how to protect your own interests when they won’t (which is always).  This is the first episode of a two-part series on Internet privacy. Next up: Dealing with tougher adversaries like nation states. ",Educational,N,episode-009.png,https://youtu.be/DU8jBdpKkAY,https://open.spotify.com/episode/7JrOnWyjQcca03Xgq5PvFa?si=fccfa2081c6e4e75,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000613523782,
8,,Small Business Security,Sal Toner/F.C. Chaos Boxing and Fitness,2023-05-10,49:01,"Joe and Adam welcome their first guest, Sal Toner of F.C. Chaos Boxing and Fitness, to talk about his security challenges as a small business owner and how to solve them without the big corporate price tag.",Small Business,N,episode-008.png,https://youtu.be/cfGgoYNQdkM,https://open.spotify.com/episode/06P4U9JAkVDibK96y85jzV?si=2795ea54b5a74299,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000612498481,
7,,The Mandatory AI Security Episode,,2023-05-02,51:26,"Joe and Adam jump into the world of AI, and the new (and not so new) security risks we need to deal with.",AI,N,episode-007.png,https://youtu.be/eDbEvnbxklU,https://open.spotify.com/episode/7HMb8MGIR8Ugflye4Tnep4?si=74929e183bc44d5e,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000611459554,
6,,Flipper Zero and Other Totally Legit Hacking Tools,,2023-04-20,38:04,"Joe and Adam decode the hype around the Flipper Zero, the latest testing device (i.e. hacker tool) to generate buzz in the security community. We go through what it does, how it fits into the wider security world and the proper use and ethics of these tools.",Educational,N,episode-006.png,https://youtu.be/BVca3X8wE_c,https://open.spotify.com/episode/0olsN2LKLn09wOLpnxqeIH?si=ea00fe99013b48ca,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000609957037,
5,,Security Can Be Fun,,2023-04-09,42:54,"Security can stress you out, but once those moments pass, they leave you with some good stories. Today we share a few to give you an idea of how a security team really works. ",General,N,episode-005.png,https://youtu.be/-8E47hD2nJg,https://open.spotify.com/episode/4HO25BthUx5o5Pgc8nARNF?si=e97c674b8ff848ae,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000608801570,
4,,We'll Never Get a VPN Sponsor After This,,2023-03-28,46:08,"These days it seems like you can’t watch YouTube without seeing an ad for a VPN service. Do you really need one? Of course, it depends…",Educational,N,episode-004.png,https://youtu.be/D76NnFLnp3U,https://open.spotify.com/episode/1TytE8RjWMeHLC9yjfDIbP?si=b54f4eb75d4b4b23,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000606365581,
3,,Can You Trust a Hacked Company?,,2023-03-26,42:16,"The number of companies that have experienced serious security breaches continues to grow. At this point a company you use has almost certainly joined that club. Maybe they even lost your data. Joe and Adam talk about the less than obvious realities around whether you should keep using them, or take your business elsewhere.",General,N,episode-003.png,https://youtu.be/V1IQE_UW4Ys,https://open.spotify.com/episode/2yH3zcHGyy4z3ypwEHdLH5?si=b6e11b5fecbf48c2,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000606133464,
2,,Security Begins at Home,,2023-03-26,45:45,"Joe and Adam talk about keeping your own security house in order: home network security, home surveillance and your car as the next cyber battleground.",Educational,N,episode-002.png,https://youtu.be/dAgMP6NM06o,https://open.spotify.com/episode/4TxcrSnqNXHCNCig3lMZfW?si=fed846f87e6d4f06,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000606133680,
1,,Passwords Must Die,,2023-03-26,46:00,"Joe and Adam talk about the many ways passwords are dreadful, and how we can live with them until they die the death they deserve.",General,N,episode-001.png,https://youtu.be/MqcVXiuB3Ks,https://open.spotify.com/episode/5o6Flpe4XZGVRHTLTRNXAt?si=db54a438e8134881,https://podcasts.apple.com/us/podcast/security-cocktail-hour/id1679376200?i=1000606133937,
 ,,,,,,,,,,,,,
